bairro_nome,n_partes_originais,area_bairro_geom_ha,area_pixel_total_ha,area_land_ha,area_agua_ha,area_urbana_ha,area_vegetacao_ha,area_lst_valid_ha,pct_land,pct_agua,pct_urbana_land,pct_vegetacao_land,pct_lst_valid_land,LST_C_median_mean,LST_C_median_median,LST_C_p75_mean,LST_C_p75_median,LST_C_p90_mean,LST_C_p90_median,NDVI_median_mean,NDVI_median_median,NDBI_median_mean,NDBI_median_median,MNDWI_median_mean,MNDWI_median_median,n_obs_validas_mean,n_obs_validas_median,lst_valid_mask_mean,lst_valid_mask_median,bairro_nome_title,lst_median_norm,lst_p75_norm,urban_norm,ndbi_norm,ndvi_norm,ndvi_inverse_norm,utvi_exploratory,utvi_rank,utvi_class,quality_flag
NAVEGANTES,1,226.0280588115236,225.7498387655791,225.36963738983164,0.3802013757474282,225.36963738983164,0.0,225.36963738983164,99.83158288049,0.1684171195099869,100.0,0.0,100.0,38.915828030818105,38.839764994573166,42.73010095296113,42.049390286793226,48.57696633226402,48.56242792532931,0.2241043043093612,0.2013305674546835,0.0555734084099025,0.0642724406863056,-0.32646222451863,-0.3300884952639361,6.676199809409237,6.999999999999999,1.0,1.0,Navegantes,0.8404106356486676,0.8831768723409251,1.0,0.9489267550258458,0.0,1.0,0.9345028526030876,1,muito alta,ok
FARRAPOS,1,226.9279812507812,226.64678652698512,224.20822171884427,2.4385648081407822,217.54725571049775,6.424809889787554,224.20822171884427,98.92406821843446,1.0759317815655156,97.02911607911535,2.865554991932555,100.0,40.67903249738917,41.08918206446165,44.25897234565211,44.682014137561,49.062160431155874,49.34524023932405,0.3193464923107604,0.2712590940742112,-0.0096987147276515,0.0178946436989688,-0.3537382604625792,-0.3576832606282804,6.418706130963299,6.999999999999998,1.0,1.0,Farrapos,1.0,1.0,0.9702911607911535,0.8050866523517537,0.16458801513372767,0.8354119848662723,0.9221579596018359,2,muito alta,ok
SÃO GERALDO,1,174.4294342598941,174.21203547689848,173.9549458338642,0.2570896430342804,173.9549458338642,0.0,165.12112984163505,99.85242716306568,0.1475728369343185,100.0,0.0,94.92177934356296,38.41906723021256,38.15373774033051,41.334576747806935,40.9729757583784,48.350659268277774,48.21863910117813,0.2275610043218275,0.2085473564413067,0.0787495538172841,0.092053052619587,-0.3513377314101137,-0.3537266652880058,7.1548066602112055,8.0,0.9492166774938584,1.0,São Geraldo,0.7954483287203791,0.776542983349708,1.0,1.0,0.005973522930365685,0.9940264770696343,0.9132035578279443,3,muito alta,ok
FLORESTA,1,186.94982679829096,186.71903334888185,186.25515827776184,0.4638750711200283,186.25515827776184,0.0,186.25515827776184,99.75156519247118,0.2484348075288524,100.0,0.0,100.0,38.30438084471064,38.22550198331569,41.56523732770916,41.59668082478975,48.27306604663527,48.28104797107159,0.2450461739925267,0.2123085810710051,0.050733803798619,0.0722974022793417,-0.3398847151986501,-0.3456291914520469,7.192819333770477,7.000000000000004,1.0,1.0,Floresta,0.7850679515667318,0.7941680697373898,1.0,0.9382617239110771,0.0361896428113428,0.9638103571886572,0.8962616204807713,4,muito alta,ok
SANTA MARIA GORETTI,1,78.48058118076088,78.34574030997115,78.34574030997115,0.0,78.34574030997115,0.0,63.17501561673828,100.0,0.0,100.0,0.0,80.63618438831438,39.26173995742106,39.20001884086673,41.75476118727436,41.67296360404878,47.89702567058856,47.82750750888891,0.3042659029316918,0.2716052300126655,0.0354106718487753,0.0605613322634446,-0.3788786478730916,-0.3739509815297773,5.999094086679959,6.999999999999998,0.8063639438722545,1.0,Santa Maria Goretti,0.87171946314697,0.8086498437742863,1.0,0.9044941556597836,0.1385272502034721,0.8614727497965279,0.8892672424755135,5,muito alta,ok
SÃO JOÃO,1,159.07596692933825,158.88088291196834,158.88088291196834,0.0,158.88088291196834,0.0,119.0782121098509,100.0,0.0,100.0,0.0,74.94810573014561,38.62075822297123,38.47349330654156,41.17561213472235,41.34502315559342,47.81919948799229,47.90801728097792,0.2709756906278033,0.2522583695188645,0.0300113166066321,0.0449902421743386,-0.346914256709364,-0.3535053772238729,5.006878900296204,6.9999999999999964,0.7494799605057563,1.0,São João,0.8137035781483377,0.7643962826027149,1.0,0.8925956027236844,0.08099843779948872,0.9190015622005113,0.8779394051350498,6,muito alta,caution_low_lst_valid
CRISTO REDENTOR,1,143.30155022182478,143.1228771019508,143.1228771019508,0.0,143.1228771019508,0.0,131.21390934136568,100.0,0.0,100.0,0.0,91.67920041734348,38.879139108615625,38.90875381408452,41.68897516930234,41.52613717014684,47.54291675665844,47.34192980765411,0.3298959544978551,0.3183401495218277,0.0075774989489253,0.0214954616780883,-0.3836695589270003,-0.3963769716282104,6.7537988422576,7.000000000000003,0.916791521239466,1.0,Cristo Redentor,0.8370898853420309,0.8036230453055145,1.0,0.8431582245575706,0.18281853963697323,0.8171814603630267,0.8602105231136286,7,muito alta,ok
VILA JOÃO PESSOA,1,112.26911042207642,112.12568348567282,112.12568348567282,0.0,112.12568348567282,0.0,111.59691287781683,100.0,0.0,100.0,0.0,99.52841258896449,39.11162508152961,39.01405634586417,41.25087278379726,41.11230760470555,48.62912784129209,48.57828123091321,0.3555052696691681,0.3385648347792171,0.027226692915699,0.0410862093854822,-0.4271953180013186,-0.4286516940127092,7.396753384267023,7.000000000000003,0.9952840177887828,1.0,Vila João Pessoa,0.8581324186054006,0.7701470504283252,1.0,0.8864591306991966,0.22707399450870036,0.7729260054912996,0.8575329210448445,8,muito alta,ok
SÃO SEBASTIÃO,1,107.00080648403453,106.88243082644888,106.88243082644888,0.0,106.88243082644888,0.0,82.40554038309581,100.0,0.0,100.0,0.0,77.09923861752583,38.90949161819597,38.94224727988813,41.909690993524016,41.81307060253084,48.1475660651672,48.20017076602948,0.3343901485897643,0.311284626580232,-0.0112753457966431,0.0058719753287732,-0.3678541446135303,-0.3963280217207257,5.993037406483792,7.000000000000005,0.7709868186676165,1.0,São Sebastião,0.8398371207320451,0.8204882394825362,1.0,0.8016122322786546,0.19058495597762046,0.8094150440223795,0.8542705273031231,9,muito alta,caution_low_lst_valid
CIDADE BAIXA,1,76.26512263978005,76.1734977611432,76.1734977611432,0.0,76.1734977611432,0.0,76.1734977611432,100.0,0.0,100.0,0.0,100.0,37.88985698902621,37.82022644300002,40.109578678656064,40.04668523230771,46.40002997762381,46.469048971014125,0.271512488022151,0.2447113256369318,0.0377648747953903,0.0563656822977149,-0.3521787749218341,-0.355992259684661,6.741065432217213,7.0,1.0,1.0,Cidade Baixa,0.7475489911220634,0.6829392266840497,1.0,0.9096821099851414,0.08192607732057308,0.9180739226794269,0.8516488500941364,10,muito alta,ok
