utvi_setor_rank,CD_SETOR,NM_BAIRRO,NM_MUN,utvi_setor_exploratory,utvi_setor_class,quality_flag_setor,LST_C_median_mean,LST_C_p75_mean,pct_urbana_land,NDVI_median_mean,NDBI_median_mean,pct_lst_valid_land,area_land_ha,n_pixels_land_aprox
1,431490205002570,Farrapos,Porto Alegre,0.9490435928992635,muito alta,ok,41.76298270496745,49.420519997967936,100.0,0.1759042826113044,0.1139643964167312,100.0,5.7483091268177136,63.870101409085706
2,431490205001328,Farrapos,Porto Alegre,0.9485926639911625,muito alta,ok,42.56844302929154,49.35986051997344,100.0,0.1961480803362038,0.0981774079451318,100.0,6.875994788665398,76.3999420962822
3,431490205001883,Sarandi,Porto Alegre,0.9425138382631694,muito alta,ok,42.99168294010296,47.07120191477976,100.0,0.2081992595926941,0.1414041930583517,100.0,2.219967478367628,24.66630531519587
4,431490205001330,Farrapos,Porto Alegre,0.940275856132814,muito alta,ok,42.65663988374135,48.66801150228078,100.0,0.1909872715500188,0.0868938862300777,100.0,4.843479812525067,53.81644236138963
5,431490205001329,Farrapos,Porto Alegre,0.9325559746677536,muito alta,ok,43.09174962601342,49.39948676112606,100.0,0.2359867132601182,0.0606169230626932,100.0,4.626591613567343,51.40657348408159
6,431490205001978,Santa Rosa de Lima,Porto Alegre,0.9163751914345456,muito alta,ok,42.12601590042163,45.72744352580484,100.0,0.2227396784940499,0.1513428381208406,100.0,2.897297560204479,32.1921951133831
7,431490205001881,Sarandi,Porto Alegre,0.9133511821398347,muito alta,ok,42.22551201571975,46.14445141313492,100.0,0.2346732240820488,0.1354816302398088,100.0,2.558786741454228,28.43096379393586
8,431490205002569,Farrapos,Porto Alegre,0.9079336045717366,muito alta,ok,42.013675839451,47.09982987831764,100.0,0.2126166414146354,0.082064700374433,100.0,4.483971934458789,49.82191038287544
9,431490205001346,Humaitá,Porto Alegre,0.9048778141875523,muito alta,ok,41.77365886863604,47.679485536807405,100.0,0.2172723244276815,0.06910302525728,100.0,2.4390447511100293,27.10049723455588
10,431490205001862,Sarandi,Porto Alegre,0.9005008351998235,muito alta,ok,41.89432981911971,45.36804685647882,100.0,0.2322651735175724,0.1324681355691538,100.0,3.800231356276016,42.22479284751129
11,431490205001351,Navegantes,Porto Alegre,0.8992625477457835,muito alta,ok,40.14084519134192,47.25615040927352,100.0,0.1892786070065798,0.1086703084999614,100.0,6.415854249193388,71.28726943548209
12,431490205001325,Farrapos,Porto Alegre,0.8977096034563908,muito alta,ok,41.92956844901539,48.33169203699691,100.0,0.2775430251029303,0.0701211344070788,100.0,4.455858540914808,49.50953934349787
13,431490205001887,Sarandi,Porto Alegre,0.8939236714674251,muito alta,ok,41.52824667685271,45.36260840669718,100.0,0.2340674988867624,0.1294965810610739,100.0,2.330942343818206,25.899359375757847
